Age,Income,Student,Credit_Rating,Loan_Approved
Young,High,No,Fair,No
Young,High,No,Excellent,No
Middle,High,No,Fair,Yes
Old,Medium,No,Fair,Yes
Old,Low,Yes,Fair,Yes
Old,Low,Yes,Excellent,No
Middle,Low,Yes,Excellent,Yes
Young,Medium,No,Fair,No
Young,Low,Yes,Fair,Yes
Old,Medium,Yes,Fair,Yes
Young,Medium,Yes,Excellent,Yes
Middle,Medium,No,Excellent,Yes
Middle,High,Yes,Fair,Yes
Old,Medium,No,Excellent,No
Young,Low,Yes,Fair,Yes
Middle,Medium,No,Excellent,Yes
Old,High,Yes,Fair,Yes
Young,Medium,Yes,Excellent,Yes
Middle,Low,No,Fair,No
Old,Medium,Yes,Excellent,Yes
Young,High,No,Fair,No
Middle,Low,Yes,Excellent,Yes
Old,Medium,No,Fair,No
Young,High,Yes,Excellent,Yes
Middle,Medium,No,Fair,Yes
Old,Low,Yes,Excellent,Yes
Young,Medium,No,Fair,No
Old,High,Yes,Excellent,Yes
